STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,ADJUSTMENT,Adjustment,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2000-Q1,,2.710920716,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2000-Q2,,2.75761281,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2000-Q3,,2.240876702,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2000-Q4,,3.200566789,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2001-Q1,,2.188578774,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2001-Q2,,0.98148248,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2001-Q3,,-0.138414633,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2001-Q4,,-1.442830074,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2002-Q1,,-1.998914591,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1),Quarterly real GDP growth - G20 countries,I,Q,Quarterly,Y,Calendar and seasonally adjusted,JPN,Japan,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,PC,Percentage change,L,Chain linked volume,GY,"Growth rate, over 1 year",T0102,Table 0102 - GDP identity from the expenditure side,2002-Q2,,-0.466921259,,,,,,F,Free (free for publication),1,One,A,Normal value,0,Units,_Z,Not applicable
